cat_name,cat_url,sub_cat_name,sub_cat_url
shoes,https://www.kaidee.com/c96-shoes/,อุปกรณ์และอะไหล่รองเท้า,https://www.kaidee.com/c298-shoes-shoe_accessories_and_part/
fashion,https://www.kaidee.com/c5-fashion/,เสื้อผ้า,https://www.kaidee.com/c33-fashion-cloth/
fashion,https://www.kaidee.com/c5-fashion/,เครื่องแต่งกาย,https://www.kaidee.com/c34-fashion-accessories/
fashion,https://www.kaidee.com/c5-fashion/,แว่นตา,https://www.kaidee.com/c98-fashion-eyeglasses/
fashion,https://www.kaidee.com/c5-fashion/,เครื่องประดับ,https://www.kaidee.com/c35-fashion-jewelry/
beauty_health,https://www.kaidee.com/c6-beauty_health/,อุปกรณ์เกี่ยวกับสุขภาพ,https://www.kaidee.com/c153-beauty_health-medical_device/
beauty_health,https://www.kaidee.com/c6-beauty_health/,น้ำหอม,https://www.kaidee.com/c160-beauty_health-perfume/
beauty_health,https://www.kaidee.com/c6-beauty_health/,อุปกรณ์เสริมสวย,https://www.kaidee.com/c38-beauty_health-beauty_tools/
appliances_decoration,https://www.kaidee.com/c3-appliances_decoration/,เฟอร์นิเจอร์,https://www.kaidee.com/c22-appliances_decoration-furniture/
appliances_decoration,https://www.kaidee.com/c3-appliances_decoration/,ของใช้ในบ้าน,https://www.kaidee.com/c26-appliances_decoration-household_appliances/
appliances_decoration,https://www.kaidee.com/c3-appliances_decoration/,ของแต่งบ้าน,https://www.kaidee.com/c23-appliances_decoration-construction_design/
appliances_decoration,https://www.kaidee.com/c3-appliances_decoration/,วัสดุก่อสร้าง,https://www.kaidee.com/c186-appliances_decoration-construction_materials/
appliances_decoration,https://www.kaidee.com/c3-appliances_decoration/,ตกแต่งสวน,https://www.kaidee.com/c25-appliances_decoration-gardening/
appliances_decoration,https://www.kaidee.com/c3-appliances_decoration/,อุปกรณ์และเครื่องมือช่าง,https://www.kaidee.com/c296-appliances_decoration-accessories_and_tool_suppliers/
amulet,https://www.kaidee.com/c57-amulet/,พระเหรียญ,https://www.kaidee.com/c112-amulet-medal/
amulet,https://www.kaidee.com/c57-amulet/,พระเบญจภาคี,https://www.kaidee.com/c161-amulet-pra_benjapakee/
amulet,https://www.kaidee.com/c57-amulet/,พระกริ่ง,https://www.kaidee.com/c162-amulet-pra_kring/
amulet,https://www.kaidee.com/c57-amulet/,พระกรุ,https://www.kaidee.com/c163-amulet-pra_kru/
amulet,https://www.kaidee.com/c57-amulet/,พระบูชา,https://www.kaidee.com/c113-amulet-statue/
amulet,https://www.kaidee.com/c57-amulet/,พระเกจิ,https://www.kaidee.com/c164-amulet-pra_geji/
amulet,https://www.kaidee.com/c57-amulet/,พระปิดตา,https://www.kaidee.com/c165-amulet-pra_pidta/
amulet,https://www.kaidee.com/c57-amulet/,จตุคามรามเทพ,https://www.kaidee.com/c114-amulet-jatukarm/
amulet,https://www.kaidee.com/c57-amulet/,พระเครื่องอื่น,https://www.kaidee.com/c116-amulet-other_amulet/
amulet,https://www.kaidee.com/c57-amulet/,เครื่องราง ของมงคล,https://www.kaidee.com/c115-amulet-talisman/
amulet,https://www.kaidee.com/c57-amulet/,สังฆภัณฑ์ งานพิธี,https://www.kaidee.com/c150-amulet-monk_supplies/
collection,https://www.kaidee.com/c103-collection/,สแตมป์,https://www.kaidee.com/c235-collection-stamp/
collection,https://www.kaidee.com/c103-collection/,เหรียญ ธนบัตร,https://www.kaidee.com/c236-collection-coin_note/
