sub_cat_name,page,condition,listing_name,listing_price,listing_url,listing_region,listing_locality,listing_lat,listing_lon
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,triflowmeterเครื่องทดสอบปอด,350,https://www.kaidee.com/product-344837449,ปทุมธานี,ลำลูกกา,13.9325,100.7494444
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,เครื่องควบคุมการให้สารอาหาร (noa 3 enteral feeding pump),11000,https://www.kaidee.com/product-344671432,กรุงเทพมหานคร,จตุจักร,13.8361545,100.5633676
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,เก้าอี้นวดไฟฟ้ารุ่น rester,12000,https://www.kaidee.com/product-344843448,กรุงเทพมหานคร,บางบอน,13.6638889,100.4088889
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,เก้าอี้นวดไฟฟ้ารุ่น rester,12000,https://www.kaidee.com/product-344843447,กรุงเทพมหานคร,บางบอน,13.6638889,100.4088889
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,หน้ากากกันฝุ่น pm2.5  มีวาล์วาระบาย,45,https://www.kaidee.com/product-344852864,นนทบุรี,ปากเกร็ด,13.9125,100.4983333
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,เครื่องกำจัดฝุ่นในที่นอน,46000,https://www.kaidee.com/product-344852690,สมุทรสาคร,เมืองสมุทรสาคร,13.5483333,100.2733333
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,qsenior ไม้เท้า พับได้ ไม้เท้ารุ่นคนไทย 150 ซม. ไม้เท้ากล่องเขียว ไม้เท้าส่องสว่าง ไม้เท้ายืนได้ สินค้าผู้สูงอายุ ผู้ป่วย ผู้มีน้ำหนักมาก,550,https://www.kaidee.com/product-121082599,กรุงเทพมหานคร,บางนา,13.6675362,100.6419331
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,เครื่องวัดความดันรัดข้อมือดิจิตอล พกพา เป็นของขวัญ ของฝาก ผู้สูงวัย ,459,https://www.kaidee.com/product-340119365,เชียงใหม่,เมืองเชียงใหม่,18.7902778,98.9844444
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,ตลับคอนแทคเลนส์ renu และ bausch and lomb,10,https://www.kaidee.com/product-344801926,สมุทรปราการ,เมืองสมุทรปราการ,13.5699534,100.6421799
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,หน้ากากอนามัยเด็ก กันฝุ่นpm2.5,60,https://www.kaidee.com/product-344852373,กรุงเทพมหานคร,บางบอน,13.6638889,100.4088889
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,หน้ากาก​ n95,32,https://www.kaidee.com/product-344801632,กรุงเทพมหานคร,คลองสาน,13.7187489,100.5014909
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,หน้ากากอนามัยn 95,50,https://www.kaidee.com/product-344801542,นนทบุรี,ปากเกร็ด,13.91248625,100.4983332
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,qsenior รถเข็นช่วยเดิน รถเข็นหัดเดิน rollator  รุ่น tn01ํy รถเข็นผู้สูงอายุ ผู้ป่วย รถเข็นช่วยเดิน หัดเดิน น้ำหนักเบา,4900,https://www.kaidee.com/product-340477347,กรุงเทพมหานคร,บางนา,13.6675362,100.6419331
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,หน้ากากกรองฝุ่นn95,60,https://www.kaidee.com/product-344851207,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,13.7580556,100.5130556
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,เทงก้า เท็งก้า เทนก้า เท็นก้า สีดำ,3500,https://www.kaidee.com/product-344850517,กรุงเทพมหานคร,ประเวศ,13.7169444,100.6944444
อุปกรณ์เกี่ยวกับสุขภาพ,2,1,หน้ากากกันฝุ่น n95 3m 8210,50,https://www.kaidee.com/product-344850675,กรุงเทพมหานคร,พระนคร,13.7644444,100.4991667
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เครื่องกรองน้ำพกพา,1200,https://www.kaidee.com/product-344843282,กรุงเทพมหานคร,บางนา,13.6672222,100.6419444
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เครื่องนวด เบาะนวดไฟฟ้า เอนกประสงค์ mix's  model. aq-88,1700,https://www.kaidee.com/product-344791957,นนทบุรี,บางบัวทอง,13.9686111,100.4055556
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เครื่อง home personal ipl ยี่ห้อ envi,25900,https://www.kaidee.com/product-344842208,เชียงใหม่,เมืองเชียงใหม่,18.7902778,98.9844444
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เก้าอี้เลื่อนขึ้นบันได,60000,https://www.kaidee.com/product-344841371,กรุงเทพมหานคร,พญาไท,13.78,100.5427778
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เตียงผู้ป่าว ธรรมดา,2000,https://www.kaidee.com/product-344839018,กรุงเทพมหานคร,วังทองหลาง,13.7852778,100.6119444
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เบาะนวดไทย3เบาะ เตียงนวด1เตียง,3700,https://www.kaidee.com/product-344838839,กรุงเทพมหานคร,พระโขนง,13.7020933,100.6017684
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เครื่องออกกำลังกาย สั่นสลายไขมัน,6000,https://www.kaidee.com/product-344786218,กรุงเทพมหานคร,บางขุนเทียน,13.6608333,100.4358333
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,model ฝังเข็มหู ของเก่าจากเซี่ยงไฮ้ พศ 2542,600,https://www.kaidee.com/product-344837561,ปทุมธานี,ลำลูกกา,13.9325,100.7494444
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,วีลแชร์ matsunaga japan ,3500,https://www.kaidee.com/product-344836617,เชียงใหม่,เมืองเชียงใหม่,18.7902778,98.9844444
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,ขายเครื่องเดินดี (dearndee) เครื่องกระตุ้นปลายเท้าตก  เครื่องกายภาพ เครื่องฝึกเดิน,5000,https://www.kaidee.com/product-344783462,กรุงเทพมหานคร,บางพลัด,13.7940492,100.504919
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,เครื่องนวดเท้าเพื่อสุขภาพ,1800,https://www.kaidee.com/product-344834381,กรุงเทพมหานคร,หนองแขม,13.7047222,100.3488889
อุปกรณ์เกี่ยวกับสุขภาพ,2,2,วีลแชร์อะลูมิเนียม ยี่ห้อ nick  japan ,2000,https://www.kaidee.com/product-344833031,เชียงใหม่,เมืองเชียงใหม่,18.7902778,98.9844444
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,หน้ากากn95,50,https://www.kaidee.com/product-344850198,กรุงเทพมหานคร,บางกะปิ,13.7658333,100.6477778
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,3m หน้ากาก n95 รุ่น 1870+,1790,https://www.kaidee.com/product-344850365,กรุงเทพมหานคร,บางแค,13.7056613,100.4059456
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,กำไลแม่เหล็ก trio z anti loop,600,https://www.kaidee.com/product-344848954,กรุงเทพมหานคร,ห้วยขวาง,13.7725259,100.5802503
